cca3,country_name,primary_currency,all_currencies
ABW,Aruba,AWG,AWG
AFG,Afghanistan,AFN,AFN
AGO,Angola,AOA,AOA
AIA,Anguilla,XCD,XCD
ALA,Åland Islands,EUR,EUR
ALB,Albania,ALL,ALL
AND,Andorra,EUR,EUR
ARE,United Arab Emirates,AED,AED
ARG,Argentina,ARS,ARS
ARM,Armenia,AMD,AMD
ASM,American Samoa,USD,USD
ATA,Antarctica,,
ATF,French Southern and Antarctic Lands,EUR,EUR
ATG,Antigua and Barbuda,XCD,XCD
AUS,Australia,AUD,AUD
AUT,Austria,EUR,EUR
AZE,Azerbaijan,AZN,AZN
BDI,Burundi,BIF,BIF
BEL,Belgium,EUR,EUR
BEN,Benin,XOF,XOF
BES,Caribbean Netherlands,USD,USD
BFA,Burkina Faso,XOF,XOF
BGD,Bangladesh,BDT,BDT
BGR,Bulgaria,BGN,BGN
BHR,Bahrain,BHD,BHD
BHS,Bahamas,BSD,"BSD,USD"
BIH,Bosnia and Herzegovina,BAM,BAM
BLM,Saint Barthélemy,EUR,EUR
BLR,Belarus,BYN,BYN
BLZ,Belize,BZD,BZD
BMU,Bermuda,BMD,BMD
BOL,Bolivia,BOB,BOB
BRA,Brazil,BRL,BRL
BRB,Barbados,BBD,BBD
BRN,Brunei,BND,"BND,SGD"
BTN,Bhutan,BTN,"BTN,INR"
BVT,Bouvet Island,,
BWA,Botswana,BWP,BWP
CAF,Central African Republic,XAF,XAF
CAN,Canada,CAD,CAD
CCK,Cocos (Keeling) Islands,AUD,AUD
CHE,Switzerland,CHF,CHF
CHL,Chile,CLP,CLP
CHN,China,CNY,CNY
CIV,Ivory Coast,XOF,XOF
CMR,Cameroon,XAF,XAF
COD,DR Congo,CDF,CDF
COG,Republic of the Congo,XAF,XAF
COK,Cook Islands,CKD,"CKD,NZD"
COL,Colombia,COP,COP
COM,Comoros,KMF,KMF
CPV,Cape Verde,CVE,CVE
CRI,Costa Rica,CRC,CRC
CUB,Cuba,CUC,"CUC,CUP"
CUW,Curaçao,ANG,ANG
CXR,Christmas Island,AUD,AUD
CYM,Cayman Islands,KYD,KYD
CYP,Cyprus,EUR,EUR
CZE,Czechia,CZK,CZK
DEU,Germany,EUR,EUR
DJI,Djibouti,DJF,DJF
DMA,Dominica,XCD,XCD
DNK,Denmark,DKK,DKK
DOM,Dominican Republic,DOP,DOP
DZA,Algeria,DZD,DZD
ECU,Ecuador,USD,USD
EGY,Egypt,EGP,EGP
ERI,Eritrea,ERN,ERN
ESH,Western Sahara,DZD,"DZD,MAD,MRU"
ESP,Spain,EUR,EUR
EST,Estonia,EUR,EUR
ETH,Ethiopia,ETB,ETB
FIN,Finland,EUR,EUR
FJI,Fiji,FJD,FJD
FLK,Falkland Islands,FKP,FKP
FRA,France,EUR,EUR
FRO,Faroe Islands,DKK,"DKK,FOK"
FSM,Micronesia,USD,USD
GAB,Gabon,XAF,XAF
GBR,United Kingdom,GBP,GBP
GEO,Georgia,GEL,GEL
GGY,Guernsey,GBP,"GBP,GGP"
GHA,Ghana,GHS,GHS
GIB,Gibraltar,GIP,GIP
GIN,Guinea,GNF,GNF
GLP,Guadeloupe,EUR,EUR
GMB,Gambia,GMD,GMD
GNB,Guinea-Bissau,XOF,XOF
GNQ,Equatorial Guinea,XAF,XAF
GRC,Greece,EUR,EUR
GRD,Grenada,XCD,XCD
GRL,Greenland,DKK,DKK
