index_latest,countryiso3code,growth_year_latest,growth_latest,index_prev,growth_year_prev,growth_prev,growth_momentum,growth_score
136,BLZ,2024,8.15178982706797,137.0,2023.0,1.14901682065862,7.002773006409351,97.55102040816325
6,CSS,2024,13.3443258679345,7.0,2023.0,9.00795196227071,4.336373905663791,97.55102040816325
264,GUY,2024,43.3720094777132,265.0,2023.0,33.795011115873,9.576998361840197,97.55102040816325
384,NER,2024,8.42159789525454,385.0,2023.0,1.66763406484279,6.753963830411749,97.55102040816325
162,CPV,2024,7.27188147204411,163.0,2023.0,5.3911442736601,1.8807371983840104,94.48979591836734
242,GEO,2024,9.42857220157775,243.0,2023.0,7.83220126555726,1.596370936020489,93.87755102040816
432,SEN,2024,6.89200740291385,433.0,2023.0,4.2574308328029,2.6345765701109505,93.55102040816325
520,VNM,2024,7.09118746633975,521.0,2023.0,5.06502391455075,2.0261635517889998,92.85714285714285
138,BEN,2024,7.45311566226201,139.0,2023.0,6.3527773854442,1.1003382768178103,92.0408163265306
82,SST,2024,6.19207435277293,83.0,2023.0,4.65816169044288,1.5339126623300494,89.51020408163265
226,ETH,2024,7.31669112848382,227.0,2023.0,6.59424599357075,0.7224451349130696,89.46938775510203
246,GHA,2024,5.68487260389836,247.0,2023.0,3.14009099763754,2.54478160626082,88.89795918367346
422,RWA,2024,8.89065529573114,423.0,2023.0,8.24990302014558,0.6407522755855606,88.85714285714285
302,KIR,2024,5.26689926385046,303.0,2023.0,2.65201087489879,2.61488838895167,87.71428571428571
458,LKA,2024,5.00871930957159,459.0,2023.0,-2.3298481898334,7.33856749940499,87.55102040816325
164,KHM,2024,6.01581457354608,165.0,2023.0,5.00733043812642,1.0084841354196596,87.10204081632654
30,HPC,2024,5.24377952313803,31.0,2023.0,3.48120555757743,1.7625739655605996,86.08163265306122
502,UGA,2024,6.13645201846398,503.0,2023.0,5.33697295511469,0.7994790633492901,85.55102040816327
240,GMB,2024,5.74671765535597,241.0,2023.0,4.79750894530943,0.9492087100465394,85.55102040816327
424,WSM,2024,9.42235044158694,425.0,2023.0,9.20864923964689,0.21370120194004905,85.42857142857142
210,DOM,2024,4.95169687182482,211.0,2023.0,2.19229848237939,2.7593983894454306,84.61224489795919
338,MYS,2024,5.11415547829091,339.0,2023.0,3.55548715410509,1.5586683241858204,84.48979591836735
478,TJK,2024,8.39999980983981,479.0,2023.0,8.29999921651935,0.10000059332046085,84.44897959183672
158,BFA,2024,4.98510300625183,159.0,2023.0,2.96018147384929,2.02492153240254,84.16326530612244
312,KGZ,2024,9.04013556120012,313.0,2023.0,9.0132928339342,0.02684272726592063,83.83673469387755
108,AGO,2024,4.42390452944746,109.0,2023.0,1.07809951970673,3.3458050097407304,82.9795918367347
514,UZB,2024,6.49999999997677,515.0,2023.0,6.29141635082311,0.20858364915365968,82.44897959183672
440,SGP,2024,4.38802362461865,441.0,2023.0,1.82140694115385,2.5666166834647997,80.44897959183675
480,TZA,2024,5.5263138305945,481.0,2023.0,5.06952353203394,0.4567902985605601,80.08163265306122
40,IDX,2024,4.55161300360969,41.0,2023.0,3.25749865131732,1.29411435229237,79.42857142857143
