ISO_A3,risk_year,risk_score
AFG,2023,1.42180097103119
AGO,2023,32.2274894714355
ALB,2023,51.6587677001953
ARE,2023,70.1421813964844
ARG,2023,41.7061614990234
ARM,2023,17.0616111755371
AUS,2023,79.620849609375
AUT,2023,71.5639801025391
AZE,2023,18.0094795227051
BDI,2023,12.7962083816528
BEL,2023,58.2938385009766
BEN,2023,31.7535552978516
BFA,2023,5.68720388412476
BGD,2023,15.6398105621338
BGR,2023,55.4502372741699
BHS,2023,84.8341217041016
BIH,2023,31.2796211242676
BLR,2023,18.4834117889404
BLZ,2023,65.4028472900391
BOL,2023,35.0710906982422
BRA,2023,28.4360198974609
BRN,2023,96.6824645996094
BTN,2023,83.4123229980469
BWA,2023,87.2037887573242
CAF,2023,3.3175356388092
CAN,2023,76.3033142089844
CHE,2023,88.6255950927734
CHL,2023,50.2369651794434
CHN,2023,25.1184825897217
CIV,2023,21.8009471893311
CMR,2023,11.3744077682495
COD,2023,5.21327018737793
COG,2023,46.9194297790527
COL,2023,18.9573459625244
CRI,2023,83.8862533569336
CUB,2023,56.8720397949219
CYP,2023,59.2417068481445
CZE,2023,82.4644546508789
DEU,2023,66.3507080078125
DJI,2023,24.6445503234863
DNK,2023,76.7772521972656
DOM,2023,53.554500579834
DZA,2023,23.222749710083
ECU,2023,32.7014236450195
EGY,2023,16.5876770019531
ERI,2023,17.5355453491211
ESP,2023,54.9763031005859
EST,2023,69.1943130493164
ETH,2023,6.16113758087158
FIN,2023,71.0900497436523
FJI,2023,72.9857788085938
GAB,2023,33.6492881774902
GBR,2023,62.0853080749512
GEO,2023,33.1753540039062
GHA,2023,45.497631072998
GIN,2023,16.1137447357178
GMB,2023,45.971565246582
GNB,2023,34.1232223510742
GNQ,2023,38.3886260986328
GRC,2023,54.028434753418
GRL,2023,98.1042633056641
GTM,2023,36.9668235778809
GUY,2023,43.6018943786621
HND,2023,27.962085723877
HRV,2023,67.7725143432617
HTI,2023,10.4265403747559
HUN,2023,72.0379180908203
IDN,2023,28.9099521636963
IND,2023,21.3270149230957
IRL,2023,78.6729888916016
IRN,2023,8.05687236785889
IRQ,2023,2.36966824531555
ISL,2023,95.2606658935547
ISR,2023,9.95260620117188
ITA,2023,64.9289093017578
JAM,2023,57.3459701538086
JOR,2023,40.2843589782715
JPN,2023,81.5165863037109
KAZ,2023,36.4928894042969
KEN,2023,14.6919431686401
KGZ,2023,26.5402851104736
KHM,2023,47.8672981262207
KOR,2023,68.2464447021484
KWT,2023,58.7677726745605
LAO,2023,75.3554534912109
LBN,2023,9.47867298126221
LBR,2023,42.6540298461914
LBY,2023,4.26540279388428
LKA,2023,25.5924167633057
LSO,2023,35.5450248718262
LTU,2023,72.511848449707
LUX,2023,87.6777267456055
LVA,2023,66.8246459960938
MAR,2023,29.8578205108643
MDA,2023,20.3791465759277
MDG,2023,19.9052124023438
MEX,2023,22.748815536499
MKD,2023,51.1848335266113
MLI,2023,0.473933637142181
MMR,2023,4.7393364906311
MNE,2023,48.8151664733887
MNG,2023,67.2985763549805
MOZ,2023,11.8483409881592
MRT,2023,26.0663509368896
MWI,2023,37.9146919250488
MYS,2023,50.7108993530273
NAM,2023,63.5071105957031
NER,2023,8.53080558776855
NGA,2023,7.5829381942749
NIC,2023,42.1800956726074
NLD,2023,68.7203826904297
NPL,2023,39.3364944458008
NZL,2023,96.2085342407227
OMN,2023,65.8767776489258
PAK,2023,6.63507127761841
PAN,2023,52.6066360473633
PER,2023,24.1706161499023
PHL,2023,23.6966819763184
PNG,2023,27.014217376709
POL,2023,63.9810409545898
PRI,2023,61.1374397277832
PRK,2023,30.3317527770996
PRT,2023,70.6161117553711
PRY,2023,49.2891006469727
PSE,2023,7.10900497436523
QAT,2023,84.3601913452148
ROU,2023,56.3981056213379
RUS,2023,13.2701425552368
RWA,2023,49.7630348205566
SAU,2023,39.8104248046875
SDN,2023,1.89573454856873
SEN,2023,41.2322273254395
SLB,2023,60.6635055541992
SLE,2023,37.4407577514648
SLV,2023,46.445499420166
SOM,2023,2.84360194206238
SRB,2023,44.5497627258301
SSD,2023,3.79146909713745
SUR,2023,59.7156410217285
SVK,2023,64.4549789428711
SVN,2023,75.8293838500977
SWE,2023,73.459716796875
SWZ,2023,30.8056869506836
SYR,2023,0.0
TCD,2023,9.00473976135254
TGO,2023,14.2180099487305
THA,2023,36.0189590454102
TJK,2023,27.488151550293
TKM,2023,43.1279602050781
TLS,2023,54.502368927002
TTO,2023,57.8199043273926
TUN,2023,22.274881362915
TUR,2023,13.7440757751465
TZA,2023,44.0758285522461
UGA,2023,19.4312801361084
UKR,2023,10.9004735946655
URY,2023,81.9905242919922
USA,2023,47.3933639526367
UZB,2023,40.7582931518555
VEN,2023,12.3222751617432
VNM,2023,45.0236968994141
VUT,2023,81.0426559448242
YEM,2023,0.947867274284363
ZAF,2023,20.8530807495117
ZMB,2023,52.1327018737793
ZWE,2023,15.1658763885498
